team_1,team_2,cup_match,late_stage,weeks_ago,result
WAL,TON,0,0,1140,won
SCO,AUS,0,0,1139,lost
ENG,NZL,0,0,1139,lost
FRA,RSA,0,0,1139,lost
WAL,NZL,0,0,1138,lost
ENG,RSA,0,0,1138,lost
IRE,CAN,0,0,1138,won
SCO,RSA,0,0,1137,lost
ENG,NZL,0,0,1137,lost
ITA,IRE,0,0,1135,won
ITA,SCO,0,0,1130,won
IRE,SCO,0,0,1128,lost
FRA,ENG,0,0,1128,won
WAL,ITA,0,0,1128,won
SCO,FRA,0,0,1126,lost
ENG,WAL,0,0,1126,won
WAL,SCO,0,0,1124,won
FRA,IRE,0,0,1124,won
IRE,WAL,0,0,1122,lost
SCO,ENG,0,0,1122,lost
ENG,IRE,0,0,1120,won
WAL,FRA,0,0,1120,lost
FIJ,SCO,0,0,1112,won
AUS,ENG,0,0,1111,won
ZIM,WAL,0,0,1111,lost
ARG,FRA,0,0,1110,lost
RSA,IRE,0,0,1110,won
AUS,SCO,0,0,1110,won
NZL,ENG,0,0,1109,won
ARG,FRA,0,0,1109,lost
RSA,IRE,0,0,1109,won
AUS,SCO,0,0,1109,won
RSA,WAL,0,0,1108,won
NZL,ENG,0,0,1108,won
FIJ,FRA,0,0,1108,lost
RSA,ENG,0,0,1107,won
AUS,NZL,0,0,1106,won
AUS,RSA,0,0,1105,lost
NZL,RSA,0,0,1104,lost
NZL,AUS,0,0,1103,lost
ARG,ROM,0,0,1102,won
ARG,USA,0,0,1101,won
RSA,NZL,0,0,1101,won
ARG,URU,0,0,1100,won
ARG,CAN,0,0,1100,won
RSA,AUS,0,0,1100,won
AUS,NZL,0,0,1099,won
JPN,ARG,0,0,1096,won
AUS,FIJ,0,0,1096,won
SAM,TON,0,0,1096,won
AUS,TON,0,0,1095,won
AUS,SAM,0,0,1095,won
ITA,ARG,0,0,1089,won
IRE,GEO,0,0,1088,won
WAL,RSA,0,0,1088,lost
FRA,ARG,0,0,1088,won
IRE,ROM,0,0,1087,won
SCO,RSA,0,0,1087,lost
WAL,ARG,0,0,1087,won
FRA,AUS,0,0,1087,lost
ENG,ITA,0,0,1087,won
ENG,AUS,0,0,1086,lost
IRE,RSA,0,0,1086,lost
ENG,RSA,0,0,1085,won
IRE,FRA,0,0,1076,lost
SCO,WAL,0,0,1076,won
ENG,SCO,0,0,1074,won
WAL,IRE,0,0,1074,lost
IRE,ENG,0,0,1072,lost
FRA,WAL,0,0,1072,lost
SCO,ITA,0,0,1072,won
SCO,IRE,0,0,1070,won
ENG,FRA,0,0,1070,won
ITA,WAL,0,0,1070,lost
FRA,SCO,0,0,1067,lost
IRE,ITA,0,0,1067,won
WAL,ENG,0,0,1067,won
FRA,ROM,0,0,1059,won
ARG,WAL,0,0,1059,lost
SAM,TON,0,0,1059,lost
ARG,WAL,0,0,1058,lost
